"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",5.02,0,5.02,245,"1 cup",30.6,"1 fl oz"
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",5.56,0,,246,"1 cup",984,"1 quart"
"Milk, buttermilk, fluid, cultured, lowfat",4.79,0,4.79,245,"1 cup",30.6,"1 fl oz"
"Milk, low sodium, fluid",4.46,0,4.46,244,"1 cup",30.5,"1 fl oz"
"Milk, dry, whole, with added vitamin D",38.42,0,38.42,128,"1 cup",32,".25 cup"
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",51.98,0,51.98,120,"1 cup",30,".25 cup"
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",52.19,0,52.19,68,"1 cup",91,"1 envelope,  (1-1/3 cup)"
"Milk, dry, nonfat, calcium reduced",51.8,0,,28.35,"1 oz",113,".25 lb"
"Milk, buttermilk, dried",49,0,49,120,"1 cup",6.5,"1 tbsp"
"Milk, canned, condensed, sweetened",54.4,0,54.4,306,"1 cup",38.2,"1 fl oz"
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",10.04,0,10.04,252,"1 cup",31.5,"1 fl oz"
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",11.35,0,11.35,256,"1 cup",31.9,"1 fl oz"
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",10.34,0.8,9.54,250,"1 cup",31.2,"1 fl oz"
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",12.13,0.7,9.55,250,"1 cup",31.2,"1 fl oz"
"Milk, chocolate, fluid, commercial, lowfat, with added vitamin A and vitamin D",10.44,0.5,9.94,250,"1 cup",1000,"1 quart"
"Milk, chocolate beverage, hot cocoa, homemade",10.74,1,9.66,250,"1 cup",31.2,"1 fl oz"
"Milk, goat, fluid, with added vitamin D",4.45,0,4.45,244,"1 cup",30.5,"1 fl oz"
"Milk, human, mature, fluid",6.89,0,6.89,246,"1 cup",30.8,"1 fl oz"
"Milk, indian buffalo, fluid",5.18,0,,244,"1 cup",976,"1 quart"
"Milk, sheep, fluid",5.36,0,,245,"1 cup",980,"1 quart"
"Milk shakes, thick chocolate",21.15,0.3,20.85,28.4,"1 fl oz",300,"1 container,  (10.6 oz)"
"Milk shakes, thick vanilla",17.75,0,17.75,28.4,"1 fl oz",313,"1 container,  (11 oz)"
"Whey, acid, fluid",5.12,0,5.12,246,"1 cup",984,"1 quart"
"Whey, acid, dried",73.45,0,73.45,57,"1 cup",2.9,"1 tbsp"
"Whey, sweet, fluid",5.14,0,5.14,246,"1 cup",984,"1 quart"
"Whey, sweet, dried",74.46,0,74.46,145,"1 cup",7.5,"1 tbsp"
"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",4.66,0,4.66,245,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)"
"Yogurt, plain, low fat, 12 grams protein per 8 ounce",7.04,0,7.04,245,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)"
"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",7.68,0,7.68,245,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)"
"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce",13.8,0,13.8,245,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)"
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",18.64,0,18.64,245,"1 cup,  (8 fl oz)",125,"1 container,  (4.4 oz)"
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",19.05,0,19.05,245,"1 cup,  (8 fl oz)",170,"1 container,  (6 oz)"
"Yogurt, fruit, low fat, 11 grams protein per 8 ounce",18.6,0,,227,"1 container,  (8 oz)",113,".5 container,  (4 oz)"
"Egg, whole, raw, fresh",0.72,0,0.37,243,"1 cup,  (4.86 large eggs)",56,"1 extra large"
"Egg, white, raw, fresh",0.73,0,0.71,243,"1 cup",33,"1 large"
"Egg, yolk, raw, fresh",3.59,0,0.56,243,"1 cup",17,"1 large"
"Egg, yolk, raw, frozen",1.15,0,0.51,227,".5 lb",,
"Egg, yolk, raw, frozen, sugared",10.8,0,,227,".5 lb",,
"Egg, whole, cooked, fried",0.83,0,0.4,46,"1 large",,
"Egg, whole, cooked, hard-boiled",1.12,0,1.12,136,"1 cup, chopped",8.5,"1 tbsp"
"Egg, whole, cooked, omelet",0.64,0,0.31,15,"1 tbsp",61,"1 large"
"Egg, whole, cooked, poached",0.71,0,0.37,50,"1 large",,
"Egg, whole, cooked, scrambled",1.61,0,1.39,220,"1 cup",13.7,"1 tbsp"
"Egg, whole, dried",4.95,0,3.08,85,"1 cup,  sifted",5,"1 tbsp"
"Egg, whole, dried, stabilized, glucose reduced",2.38,0,,85,"1 cup,  sifted",5,"1 tbsp"
"Egg, white, dried, flakes, glucose reduced",4.17,0,4.17,227,".5 lb",,
"Egg, white, dried, powder, glucose reduced",4.47,0,4.47,107,"1 cup,  sifted",7,"1 tbsp"
"Egg, yolk, dried",3.6,0,3.6,67,"1 cup,  sifted",4,"1 tbsp"
"Egg, duck, whole, fresh, raw",1.45,0,0.93,70,"1 egg",,
"Egg, goose, whole, fresh, raw",1.35,0,0.94,144,"1 egg",,
"Egg, quail, whole, fresh, raw",0.41,0,0.4,9,"1 egg",,
"Egg, turkey, whole, fresh, raw",1.15,0,,79,"1 egg",,
"Egg substitute, powder",21.8,0,21.8,9.9,".35 oz",20,".7 oz"
"Butter, without salt",0.06,0,0.06,227,"1 cup",14.2,"1 tbsp"
"Cheese, parmesan, shredded",3.41,0,0.9,5,"1 tbsp",,
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",4.96,0,5.09,245,"1 cup",980,"1 quart"
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",5.49,0,,245,"1 cup",980,"1 quart"
"Milk, canned, evaporated, with added vitamin A",10.04,0,,31.5,"1 fl oz",126,".5 cup"
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",51.98,0,51.98,120,"1 cup",30,".25 cup"
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",52.19,0,52.19,68,"1 cup",91,"1 envelope,  (1-1/3 cup)"
"Cheese, goat, hard type",2.17,0,2.17,28.35,"1 oz",,
"Cheese, goat, semisoft type",2.54,0,2.54,28.35,"1 oz",,
"Cheese, goat, soft type",0.89,0,0.89,28.35,"1 oz",,
"Egg, yolk, raw, frozen, salted",1.6,0,,227,".5 lb",,
"Cheese substitute, mozzarella",23.67,0,23.67,113,"1 cup, shredded",28.35,"1 oz"
"Cheese fondue",3.77,0,,215,"1 cup",108,".5 cup"
"Cheese sauce, prepared from recipe",5.48,0.1,0.19,243,"1 cup",30,"2 tbsp"
"Cheese, mexican, queso anejo",4.63,0,4.63,132,"1 cup, crumbled",28.35,"1 oz"
"Cheese, mexican, queso asadero",2.87,0,2.87,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, mexican, queso chihuahua",5.56,0,5.56,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, low fat, cheddar or colby",1.91,0,0.52,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, low-sodium, cheddar or colby",1.91,0,0.49,132,"1 cup, diced",113,"1 cup, shredded"
"Egg, whole, raw, frozen",1.05,0,,,,,
"Egg, white, raw, frozen",1.05,0,,,,,
"Egg, white, dried",7.8,0,5.4,,,,
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",4.8,0,5.06,,,,
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",4.99,0,5.2,,,,
